Country_A,Country_B,Conflict_Type,Year,Duration_Days,Military_Deaths_A,Military_Deaths_B,Civilian_Deaths,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,GDP_A_Billions,GDP_B_Billions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement
China,Japan,War,1978,1472,28331,12234,120910,230.31,28.3,2910.5,Plains,52.6,710,883.1,21157.3,Regional,NATO,Mixed,90,176,No,16.57,Yes,Victory_A,62.168,-141.862,Arid,Land,Yes
Ukraine,France,Cold Conflict,2000,1537,13961,10882,133101,214.66,26.2,1791.9,Forest,1235.8,646.7,20952.8,13565.3,Regional,NATO,Nuclear,3677,15,No,12.24,No,Stalemate,59.751,94.784,Temperate,Oil,Yes
UK,India,Proxy War,1998,319,11687,42102,125646,448.68,12,711.8,Mountain,1187.2,1386.4,14592.6,10790.2,NATO,None,Nuclear,4172,81,Yes,19.39,No,Victory_A,-87.835,-67.985,Tropical,Land,No
USA,Israel,Cold Conflict,1992,217,13615,21751,152427,144.3,7.2,1491.4,Plains,352.8,706.7,1208.3,24034.2,None,Regional,Cyber,3519,73,No,6.51,No,Victory_B,-43.838,-68.006,Temperate,Oil,No
Ukraine,USA,War,2021,1058,21775,24122,74593,124.59,27.4,657.3,Plains,1123.8,45.7,15387.9,24214.3,Regional,NATO,Cyber,1320,29,No,3.23,No,Victory_A,-57.453,160.218,Arid,None,Yes
Canada,Ukraine,Proxy War,1954,1895,38722,19022,35144,469.6,12.1,2951.9,Desert,1114.9,877.4,3086.2,970,Regional,None,Cyber,3459,67,No,15.01,No,Victory_B,-6.892,-28.131,Tropical,Water,No
Germany,China,Skirmish,1991,266,16700,14718,166220,404.64,1.1,2541.8,Plains,469.7,1019.5,12398.4,17674.1,None,None,Cyber,2369,70,Yes,0.87,Yes,Stalemate,72.952,104.247,Temperate,Water,No
Israel,Ukraine,War,1956,1664,27992,17345,164892,410.33,12.8,78.7,Desert,976.2,1239.4,16738.6,9300.2,Regional,NATO,Nuclear,2468,79,Yes,3.19,No,Victory_B,-89.099,49.379,Tropical,None,No
Ukraine,UK,Civil War,1991,724,17843,18360,9784,97.68,-3.6,2843.3,Forest,406.5,886.1,3721.2,16883.2,None,NATO,Nuclear,2593,114,Yes,10.14,Yes,Victory_B,-2.125,-66.177,Tropical,Water,No
Japan,Ukraine,Cold Conflict,1985,775,3874,10127,39655,71.73,21.1,2163.2,Forest,99.3,28.2,12431.3,15926.7,Regional,None,Cyber,1657,36,Yes,15.07,Yes,Victory_A,69.263,-135.435,Temperate,None,Yes
USA,Australia,War,1976,1848,21901,14086,77982,13.11,5.1,247.1,Mountain,707.2,168.5,11440.7,8259.3,None,Regional,Cyber,3377,196,No,12.02,No,Victory_B,76.718,107.187,Tropical,Land,Yes
Australia,UK,War,2007,1104,37795,45268,186741,118.6,1.7,2011.9,Desert,614.2,226.6,22894.6,24666.6,Regional,None,Nuclear,4037,54,Yes,19.9,Yes,Victory_B,28.314,94.501,Tropical,Oil,Yes
Australia,Brazil,Proxy War,1995,1701,28953,3626,124159,387.12,33,1940.8,Plains,194.3,296.6,24892.6,8934.2,NATO,NATO,Mixed,345,166,No,13.1,No,Victory_B,59.355,-119.101,Arid,Water,No
Turkey,Germany,Proxy War,2015,413,4529,26361,27931,120.1,25,656.4,Desert,687.3,1119.9,16365.3,15803.2,Regional,NATO,Conventional,3881,184,No,14.5,No,Victory_B,-31.668,-90.318,Polar,None,Yes
Canada,Brazil,Proxy War,1974,1276,4706,44461,194523,364.58,25.4,2275.3,Forest,1329.2,434.4,21372.9,20336.5,NATO,NATO,Cyber,1664,176,No,19.88,Yes,Victory_B,-38.527,95.845,Polar,Oil,Yes
Ukraine,China,Civil War,2022,1036,4578,1722,162299,126.03,18.1,261.2,Forest,1024.2,438,16175.6,3645.2,None,Regional,Conventional,3873,96,No,11.85,Yes,Victory_B,-81.158,174.107,Tropical,None,Yes
Ukraine,Russia,Proxy War,1976,401,48944,38386,40172,197.71,27.8,1468.3,Mountain,1034.7,1058.1,21908.4,7521.2,NATO,Regional,Mixed,2772,190,Yes,14.29,Yes,Victory_A,0.576,123.711,Temperate,Water,Yes
Turkey,Germany,War,1950,1840,18380,29633,35347,491.58,24.2,29.8,Forest,1060.8,578,10837.5,4982.3,Regional,Regional,Mixed,649,98,No,5.97,No,Victory_A,-7.95,66.295,Polar,Oil,Yes
Iran,Ukraine,Proxy War,2023,724,40234,35525,111563,122.48,16.9,2906.2,Desert,1042.7,91.4,15203.7,19547.7,NATO,None,Mixed,2706,111,No,10.74,Yes,Victory_B,-23.055,149.553,Temperate,Water,Yes
Iran,Israel,Skirmish,1991,282,4527,18416,36730,188.25,33.3,2254.7,Plains,28.8,819.6,21130.8,20032.2,NATO,None,Nuclear,1912,117,No,18.24,Yes,Victory_B,-69.6,-77.315,Polar,Oil,Yes
Turkey,Canada,Proxy War,2001,1136,46344,8799,83502,150.61,-1.4,476.6,Plains,1294.6,183,22953,6406,Regional,Regional,Conventional,3685,161,Yes,17.07,Yes,Victory_B,-48.463,-176.525,Arid,Oil,No
Iran,Russia,Civil War,1974,723,5461,14055,51094,54.9,32.5,1025,Desert,1162.4,800.8,626.8,113.2,None,Regional,Mixed,4861,56,No,6.13,Yes,Stalemate,-53.338,-64.451,Arid,None,No
Russia,Germany,Skirmish,2003,1402,25575,31643,175206,245,8.1,481.7,Mountain,385.1,1091.7,2607.8,10589.5,NATO,NATO,Cyber,1809,96,No,7.14,Yes,Victory_B,79.914,169.896,Temperate,Oil,Yes
Ukraine,Germany,War,2016,751,741,35524,165311,189.41,13.8,2299.9,Plains,774.3,1301.4,23280,17181.6,Regional,NATO,Mixed,3260,61,No,16.93,Yes,Victory_A,83.963,137.509,Temperate,Land,No
France,China,War,1955,268,21830,16773,144632,347.47,-4.5,176.7,Desert,861.4,94.8,14217,15566.3,NATO,None,Cyber,2112,38,No,5.69,Yes,Victory_A,-89.384,-161.872,Arid,Water,Yes
India,France,Cold Conflict,2007,1941,21213,23495,90552,408.82,14.3,2521.2,Desert,185.6,426.2,24754.9,11148,None,Regional,Cyber,1482,73,No,17.75,Yes,Victory_B,-59.301,0.705,Temperate,None,No
Japan,Ukraine,Skirmish,2019,298,20111,38726,22202,272.17,17.5,2826.6,Forest,356.3,913.8,19817.9,7555.5,None,Regional,Mixed,675,66,Yes,15.48,No,Victory_A,69.981,-151.556,Tropical,Oil,Yes
Russia,China,Cold Conflict,2002,1341,42953,23807,84788,16.19,34.9,2029.9,Forest,33.5,442.3,20455.3,11864.9,None,None,Cyber,475,189,Yes,3.05,No,Victory_A,-83.099,104.051,Arid,Land,Yes
UK,Germany,Skirmish,2015,570,19759,19313,157567,309.5,33.9,638.9,Mountain,1209.7,632,9659.2,387.4,NATO,Regional,Cyber,325,28,No,14.4,Yes,Stalemate,79.821,-45.858,Arid,Land,Yes
Russia,USA,Skirmish,2007,509,36918,10501,132317,27.79,33.5,1080.3,Mountain,35.8,29.1,6446,1856,Regional,NATO,Nuclear,3263,30,No,16.69,No,Victory_B,-21.588,148.3,Arid,Land,No
France,Russia,Civil War,1951,1974,37421,21296,104583,308.22,5.7,1431.7,Mountain,446.9,971.2,14960.5,4075.3,None,Regional,Conventional,2135,59,No,2.89,No,Victory_A,6.963,-160.397,Arid,None,No
UK,China,Cold Conflict,1971,546,21409,26076,191071,342.55,34.6,1813.9,Desert,110.5,1236.7,21977,15638.9,Regional,None,Nuclear,4253,38,Yes,9.15,No,Victory_A,47.488,84.239,Tropical,Oil,Yes
Japan,France,Civil War,1986,775,18788,8858,25483,98.96,10.5,2006,Desert,1094.2,1367.6,18145.2,5477.8,None,None,Nuclear,1296,0,No,17.25,Yes,Victory_B,-46.097,-36.228,Arid,Oil,No
France,Iran,Skirmish,1969,365,28276,1573,136427,409.69,28.3,1662.6,Forest,1295.1,1162.9,11809.7,10590.2,NATO,Regional,Nuclear,281,55,No,3.97,No,Victory_A,-71.879,-83.438,Arid,Land,Yes
China,India,War,1973,547,3443,13381,189982,455.55,-0.3,1053.9,Plains,788.4,45.5,18832.5,15539.1,NATO,None,Conventional,656,100,No,8.98,No,Stalemate,55.791,6.282,Temperate,None,No
India,Brazil,Skirmish,2014,271,2156,48832,48698,406.56,12.8,2672.8,Mountain,196.3,912.9,17263,20766.1,None,NATO,Conventional,2210,185,No,12.26,Yes,Victory_B,87.233,-5.225,Arid,Water,Yes
Japan,Germany,Civil War,2014,1985,19292,32648,194212,152.62,33.5,244.2,Urban,781.9,694.4,22827.2,13745.9,Regional,NATO,Mixed,3245,90,No,1.95,Yes,Victory_A,28.58,-54.428,Polar,Oil,Yes
Ukraine,Ukraine,Cold Conflict,1950,1498,23576,18471,42163,293.36,32.6,1398.8,Mountain,1078.7,1313.1,6596.3,4436.4,Regional,NATO,Nuclear,900,148,No,4.24,No,Victory_B,58.54,53.588,Temperate,Oil,No
Iran,Canada,Cold Conflict,1952,739,9516,28463,103554,457.42,20.8,2326.7,Forest,1006.1,1263.1,2991.6,23794,None,Regional,Conventional,4426,181,Yes,9.33,No,Victory_A,79.436,58.074,Temperate,Water,Yes
China,India,Civil War,1995,537,40094,12157,130481,160.4,25.9,182.6,Desert,1038.7,1383.3,11756.6,2259.5,NATO,None,Mixed,143,198,No,7.47,No,Stalemate,-48.856,-152.23,Polar,Oil,Yes
Canada,UK,Cold Conflict,2004,1258,986,40541,173764,410.03,-2.1,2116,Forest,391.6,1206.8,9033.4,9184.3,Regional,NATO,Nuclear,3369,170,No,6.5,Yes,Victory_A,-26.927,34.349,Temperate,Water,Yes
Japan,Israel,Proxy War,2024,59,8684,19744,33112,4.84,22.5,2459.1,Forest,104.2,766.1,24371.8,23033.9,Regional,None,Nuclear,3933,181,No,0.53,Yes,Stalemate,-50.575,75.865,Tropical,Water,Yes
Canada,Israel,War,2013,1275,27866,28223,71683,1.92,17.8,1982.5,Forest,209.4,1001.1,197.5,15062.3,NATO,None,Cyber,2487,129,Yes,18.56,No,Victory_B,-78.879,-152.68,Arid,Oil,No
UK,Turkey,War,1994,1871,18930,23974,41654,379.88,-5.9,38.8,Urban,1337.8,1350.6,23335.2,16569.7,Regional,None,Conventional,2535,141,No,17.43,No,Stalemate,41.81,57.287,Arid,Land,Yes
China,Turkey,War,1975,86,20389,23223,137800,380.75,-4.9,540.4,Urban,859.3,809.8,23877.4,7549.3,None,NATO,Cyber,1413,105,Yes,7.85,Yes,Victory_B,-63.782,109.432,Temperate,Oil,No
India,Japan,Cold Conflict,2014,763,11630,14381,32171,394.51,-5.1,1026.3,Mountain,1019.3,1176.1,1283.4,1972.7,NATO,None,Nuclear,1043,130,Yes,3.63,Yes,Victory_A,-73.312,119.5,Arid,Land,No
Ukraine,France,Cold Conflict,1973,390,3691,3351,179625,465.02,22.6,701.1,Desert,1258.8,1319.2,22240.4,9150.4,None,NATO,Nuclear,2583,141,Yes,1.38,Yes,Victory_A,-25.626,-165.007,Temperate,Oil,Yes
Turkey,Canada,Skirmish,2023,1204,28442,22389,125065,59.04,-3.6,2888,Forest,1194,799.2,11774.8,10059.9,NATO,NATO,Nuclear,3674,4,No,2.46,No,Victory_A,-79.1,71.07,Arid,None,Yes
Ukraine,Iran,Skirmish,1984,719,21495,5154,86990,116.07,11,1954.8,Plains,306.5,223.7,19156.1,6764.1,None,NATO,Mixed,649,80,No,12.04,No,Victory_A,-57.68,106.912,Temperate,Land,Yes
France,Iran,War,1973,856,16838,34584,16544,451.87,6.1,890.9,Mountain,82.2,218.6,1990.6,5395,None,Regional,Cyber,4760,166,Yes,14.68,Yes,Victory_B,-77.411,-37.144,Temperate,Water,No
Ukraine,Japan,Proxy War,1977,149,2731,42072,175307,88.7,14.8,2789.1,Mountain,1295.3,162.3,23880.6,8894.2,None,None,Cyber,3291,128,No,3.13,Yes,Victory_B,67.91,15.423,Temperate,Land,Yes
Israel,France,Skirmish,1965,583,18005,46974,140800,341.15,21.8,2221.8,Forest,1374.4,667.4,15192.6,15989,Regional,Regional,Nuclear,2921,119,No,2.26,No,Victory_A,50.352,-84.558,Tropical,Land,No
Brazil,Ukraine,Skirmish,2008,121,19156,1410,168754,265.28,20.8,853.8,Mountain,794.7,672.7,22468.4,23726.4,Regional,Regional,Cyber,172,42,No,13.82,No,Victory_B,64.713,-68.313,Temperate,Oil,Yes
Turkey,USA,Cold Conflict,2003,765,44238,29246,46285,41.69,13.2,1136.6,Forest,1243.9,864.7,16827.3,17597.5,None,Regional,Nuclear,3021,91,Yes,10.34,No,Victory_B,66.3,0.583,Tropical,None,Yes
Russia,Ukraine,Proxy War,1965,605,49880,49869,132770,142.7,10.9,598.3,Mountain,325.3,676.5,13424.9,19492.3,None,Regional,Nuclear,2048,186,Yes,7.44,No,Victory_B,80.012,-125.59,Tropical,Water,No
Iran,Brazil,War,1964,256,23646,29412,81263,260.23,7.9,2913.2,Desert,156.3,1362.3,4320.7,7658.6,NATO,NATO,Cyber,4078,77,No,14.5,No,Victory_A,-56.402,-46.614,Polar,None,Yes
USA,India,Skirmish,1960,766,35547,31081,199039,426.19,28.8,1551.9,Mountain,700.2,408.5,4457.1,2626.3,Regional,NATO,Conventional,3096,14,No,9.11,No,Stalemate,72.002,-71.483,Temperate,Land,Yes
India,Russia,Proxy War,2014,864,37290,48750,16539,353.8,4.9,2688.2,Mountain,1135.8,1223.5,11819.5,7294.9,None,None,Nuclear,2927,45,No,9.3,Yes,Stalemate,4.507,-94.23,Tropical,None,Yes
China,Iran,Proxy War,2017,800,26114,4357,77331,310.98,1.7,1039.5,Plains,916.9,141.4,21762.4,10072.3,Regional,None,Nuclear,1894,6,Yes,0.31,Yes,Victory_B,-60.078,-5.8,Polar,None,No
Brazil,Israel,War,1992,1333,7563,15946,136940,248.07,23.4,2582.5,Desert,892.6,843.1,2889.3,17250.1,NATO,NATO,Cyber,3976,169,No,6.32,Yes,Stalemate,28.039,121.924,Arid,None,No
India,France,Proxy War,2018,59,42481,22583,108240,149.41,6.2,161.7,Desert,25.4,908,24959.6,23484.6,None,None,Cyber,3262,114,Yes,0.1,No,Stalemate,-31.14,-92.786,Tropical,Land,Yes
China,Ukraine,Proxy War,1962,1022,1880,26658,124663,59.71,28.1,2946.3,Desert,445.2,1081.3,21899,20234.2,Regional,None,Cyber,408,6,Yes,18.48,No,Victory_B,-81.635,57.503,Tropical,None,No
Iran,Russia,Proxy War,1959,1093,26207,43288,164271,204.6,4.8,2736.1,Mountain,1315.4,704.7,9820,6667.3,NATO,Regional,Nuclear,3549,174,Yes,5.88,Yes,Victory_B,-75.843,-88.491,Tropical,None,No
Germany,Brazil,Skirmish,2024,1470,31687,13112,158434,14.36,21.6,1089.6,Urban,188.8,276.9,6335.4,20509.3,None,Regional,Conventional,3375,87,No,3.61,No,Victory_B,-13.731,-128.85,Polar,Oil,Yes
Germany,Germany,War,1990,388,42292,33336,168246,105.61,-8,2324.2,Mountain,1017.2,517.2,23050.7,10299.6,Regional,Regional,Conventional,4022,89,No,1.82,Yes,Victory_A,58.767,159.596,Polar,Water,No
Canada,UK,Proxy War,1999,1110,39439,38773,104272,216.3,7.4,2256.8,Forest,1063.3,381.8,3089.1,4394.2,NATO,Regional,Conventional,577,18,Yes,0.93,Yes,Stalemate,-34.015,47.965,Tropical,Land,Yes
India,India,Proxy War,2020,786,25068,45176,1366,209.36,5.4,2703.8,Plains,1026.2,587.3,8688.8,11536.7,NATO,Regional,Nuclear,3607,52,No,17.72,Yes,Stalemate,47.903,-142.345,Temperate,None,No
Germany,Brazil,Skirmish,2008,1251,33693,48502,60096,22.24,26.8,921.8,Desert,1385,742.4,2107,14084.9,Regional,NATO,Cyber,4177,89,No,3.37,Yes,Victory_B,-79.966,47.752,Polar,None,Yes
Israel,Brazil,War,1988,593,44023,29031,78693,294.57,33.5,1396.6,Forest,573.5,875.5,23837,19087.5,None,Regional,Conventional,602,15,No,12.35,Yes,Victory_A,-19.128,-116.515,Polar,Oil,No
Turkey,Ukraine,Cold Conflict,1952,1650,23760,32176,97554,274.89,10.7,2595,Forest,955.4,1183.3,15444.4,8753.9,Regional,Regional,Conventional,3755,61,Yes,13.02,No,Victory_B,-67.061,139.607,Arid,Water,No
China,USA,Skirmish,1956,1208,2495,14901,115644,39.14,27.1,2335.7,Urban,271.9,1274.1,8411.1,3678,NATO,NATO,Conventional,4069,193,No,6.35,Yes,Victory_A,65.439,-90.911,Arid,Land,Yes
Canada,Japan,War,1998,1816,37013,9728,64092,471.59,21.5,1180.4,Desert,560.2,648.2,6894.3,2367.9,NATO,Regional,Nuclear,987,64,No,16.66,No,Stalemate,84.229,110.447,Tropical,None,Yes
Ukraine,Iran,Proxy War,1975,1346,31948,8828,128345,49.78,33.5,2537.2,Mountain,688.7,125.1,11107.9,2820,None,None,Cyber,4236,111,Yes,4.28,No,Victory_B,-31.389,-108.29,Arid,Land,No
China,UK,War,1982,909,15879,17435,154224,427.43,26.5,140.9,Desert,301.5,1116.1,2293.5,23751.1,Regional,NATO,Mixed,2315,178,Yes,1.43,Yes,Victory_B,87.995,20.985,Temperate,None,Yes
Canada,India,War,1997,1342,5592,43873,114480,0.25,-6.5,2346.1,Plains,1269.6,668.5,22234.8,23794.3,None,None,Cyber,4234,35,Yes,1.37,No,Stalemate,45.415,148.438,Tropical,None,Yes
Iran,Germany,War,1951,566,29822,28670,125832,441.15,22.1,620.3,Desert,1003,765.5,12778.4,24219.2,None,None,Cyber,3118,162,No,6.01,Yes,Victory_A,-89.778,-73.439,Tropical,Land,Yes
India,Germany,Cold Conflict,2020,399,7211,22559,163079,9.96,14.1,858.4,Forest,398,834.5,18130.2,7569.2,NATO,NATO,Cyber,1083,23,No,9.26,No,Victory_A,-2.651,-150.697,Polar,Land,Yes
Iran,China,War,1981,1733,45955,40758,143994,378.93,-9.3,1479.6,Forest,189.8,935.3,5851.3,4798.4,Regional,NATO,Conventional,2608,68,No,12.59,No,Stalemate,60.138,18.933,Tropical,None,Yes
Turkey,Brazil,Cold Conflict,1953,899,10084,7177,50144,180.91,1.3,1349.2,Mountain,403.7,1246.3,12598.7,24523.1,Regional,Regional,Cyber,1587,118,Yes,14.57,No,Victory_A,6.098,-117.961,Arid,Land,No
Turkey,France,Proxy War,1969,1317,32116,2071,47769,369.13,31.5,1561.7,Mountain,872.6,1333.1,5285,24706.7,NATO,NATO,Conventional,1084,156,No,3.57,Yes,Stalemate,8.993,82.204,Tropical,Water,No
Brazil,USA,Cold Conflict,1985,293,27740,46436,121153,200.93,31.7,1634.3,Mountain,1157.1,1316.3,20404.2,1968,NATO,NATO,Nuclear,1749,128,Yes,13.68,No,Stalemate,-9.414,32.696,Tropical,Land,No
Iran,UK,Proxy War,1981,485,6892,34059,128876,35.55,25.9,994.6,Plains,704.9,1133.4,19384.1,18815.7,Regional,Regional,Mixed,3166,184,No,3.65,Yes,Stalemate,-18.893,-55.305,Arid,Land,Yes
France,Ukraine,Proxy War,1977,1923,27024,45688,150815,383.78,34.2,525.7,Desert,144.4,1245,3713.6,7223.7,None,Regional,Nuclear,1655,122,No,19.94,No,Victory_A,-85.069,74.035,Polar,Land,No
Ukraine,Germany,Cold Conflict,1950,1471,32677,40633,50528,35.72,26.3,2305.4,Urban,349.8,70.5,1871.9,22733.4,None,NATO,Nuclear,3546,136,No,19.18,No,Victory_B,21.912,-94.13,Temperate,Land,Yes
Japan,India,Skirmish,2009,803,7811,43122,43727,461.07,-9.5,1199.9,Desert,483.9,1188.9,20606.7,2239.7,Regional,Regional,Mixed,39,99,No,2.05,No,Stalemate,48.011,150.133,Arid,None,No
Iran,China,Civil War,2005,1716,20112,3146,191134,25.58,3,1517.5,Mountain,891,102.1,2750.1,22215.6,None,Regional,Cyber,1350,14,No,13.1,Yes,Victory_A,52.232,-55.12,Temperate,Oil,Yes
Brazil,Israel,War,1984,1916,34433,44618,141882,239.71,-8.6,1934.1,Plains,346.1,1044.9,13716.6,75.5,None,Regional,Cyber,1994,73,Yes,18.07,No,Stalemate,22.435,94.669,Temperate,None,No
UK,Iran,Civil War,1979,1436,36535,12803,11634,361.54,-5.8,2728.9,Desert,328.3,237.9,13366.8,13054.2,NATO,None,Conventional,2453,143,No,1.61,No,Victory_A,-28.57,-86.933,Temperate,None,No
Israel,India,War,2003,1532,39327,49556,2156,196.68,-0.2,2122.7,Forest,401.4,504.8,5081.6,8395.7,None,Regional,Cyber,743,175,No,2.48,Yes,Stalemate,-85.93,77.337,Tropical,Water,No
China,USA,War,1985,1758,4196,8143,144791,108.7,12.7,136.4,Desert,829.9,258.7,14788,10689.1,NATO,None,Mixed,3282,35,Yes,6.94,No,Victory_A,71.24,-168.649,Temperate,None,Yes
Turkey,France,Proxy War,2004,1810,1119,37776,25273,379.57,28.1,2515.7,Forest,690.2,621.4,12573.9,10850.3,None,NATO,Nuclear,4133,52,No,1.91,Yes,Stalemate,-12.772,-73.614,Polar,None,Yes
